Phylum ,taxon_id
Actinobacteria,Bifidobacterium_pseudolongum
Actinobacteria,Cellulosimicrobium_sp
Actinobacteria,Cnuibacter_physcomitrellae
Actinobacteria,Gordonia_sp
Actinobacteria,Microbacterium_aurum
Actinobacteria,Microbacterium_paraoxydans
Actinobacteria,Microbacterium_sp_TNHR37B
Bacteroidetes,Chitinophaga_terrae_kim_and_jung_2007
Bacteroidetes,Chryseobacterium_gleum
Bacteroidetes,Dysgonomonas_capnocytophagoides
Bacteroidetes,Empedobacter_falsenii
Bacteroidetes,Myroides_sp
Bacteroidetes,Sphingobacterium_sp
Bacteroidetes,Sphingobacterium_thalpophilum
Bacteroidetes,Spirosoma_sp48-14
Firmicutes,Anaerosporobacter_mobilis
Firmicutes,Clostridium_sp_KNHs205
Firmicutes,Clostridium_indolis
Firmicutes,Clostridium_intestinale
Firmicutes,Enterococcus_avium
Firmicutes,Enterococcus_Saccharolyticus
Firmicutes,Enterococcus_phoeniculicola
Firmicutes,Enterococcus_sp
Firmicutes,Paenibacillus_sp
Firmicutes,Paenibacillus_stellifer
Firmicutes,Weissella_paramesenteroides
Proteobacteria,Achromobacter_denitrificans
Proteobacteria,Acidovorax_spMR-S7
Proteobacteria,Comamonas_terrae
Proteobacteria,Cronobacter_sakazakii
Proteobacteria,Enterobacter_cloacae
Proteobacteria,Enterobacter_sp
Proteobacteria,Kaistia_adipata
Proteobacteria,Kerstersia_gyiorum
Proteobacteria,Kosakonia_sacchari
Proteobacteria,Ochrobactrum_intermedium
Proteobacteria,Providencia_stuartii
Proteobacteria,Stenotrophomonas_maltophilia
Proteobacteria,Stenotrophomonas_nitritireducens
